time,open,high,low,close,S1 fair (MVRV 1.0x),S1 deep (MVRV 0.5x),S1 LOI floor,S3 VWAP upper,S3 VWAP lower,S3 LOI ceiling,S3 Early,S3 Watch,S3 Terminal-probable,S3 Terminal-confirmed,S1 Early,S1 Confirmed,MA
1701441000,92.385,92.955,91.895,92.665,,,,,,,0,0,0,0,0,0,86.01398750000007
1701455400,92.665,92.875,92.55,92.76,,,,,,,0,0,0,0,0,0,86.04298750000007
1701700200,91.82,91.865,90.66,91.385,,,,,,,0,0,0,0,0,0,86.06493750000007
1701714600,91.38,91.745,91.24,91.675,,,,,,,0,0,0,0,0,0,86.08376250000006
1701786600,91.2625,92.315,91.24,91.985,,,,,,,0,0,0,0,0,0,86.10306250000006
1701801000,91.99,92.23,91.865,92.215,,,,,,,0,0,0,0,0,0,86.12323750000007
1701873000,92.875,92.905,91.56,91.835,,,,,,,0,0,0,0,0,0,86.14238750000005
1701887400,91.825,91.875,91.36,91.445,,,,,,,0,0,0,0,0,0,86.15548750000008
1701959400,91.875,92.515,91.67,92.385,,,,,,,0,0,0,0,0,0,86.17178750000006
1701973800,92.385,92.695,92.36,92.54,,,,,,,0,0,0,0,0,0,86.18436250000008
1702045800,92.34,93.19,92.325,93.095,,,,,,,0,0,0,0,0,0,86.19915000000009
1702060200,93.11,93.405,93.025,93.33,,,,,,,0,0,0,0,0,0,86.21687500000007
1702305000,93.05,93.9775,92.84,93.96,,,,,,,0,0,0,0,0,0,86.23722500000007
1702319400,93.96,94.165,93.935,94.12,,,,,,,0,0,0,0,0,0,86.26395000000008
1702391400,93.82,94.475,93.72,94.38,,,,,,,0,0,0,0,0,0,86.29535000000007
1702405800,94.38,94.8,94.35,94.795,,,,,,,0,0,0,0,0,0,86.32685000000009
1702477800,95,95.34,94.77,94.825,,,,,,,0,0,0,0,0,0,86.36082500000008
1702492200,94.82,95.835,94.82,95.625,,,,,,,0,0,0,0,0,0,86.39782500000007
1702564200,95.66,96.04,94.965,94.98,,,,,,,0,0,0,0,0,0,86.43160000000007
1702578600,94.975,95.37,94.665,95.355,,,,,,,0,0,0,0,0,0,86.46180000000008
1702650600,95.345,96.4,95.345,96.115,,,,,,,0,0,0,0,0,0,86.49635000000008
1702665000,96.115,96.25,95.685,95.89,,,,,,,0,0,0,0,0,0,86.53737500000008
1702909800,95.61,95.98,95.215,95.955,,,,,,,0,0,0,0,0,0,86.57702500000006
1702924200,95.975,96.14,95.93,95.965,,,,,,,0,0,0,0,0,0,86.61380000000007
1702996200,95.905,96.225,95.85,96.105,,,,,,,0,0,0,0,0,0,86.65555000000008
1703010600,96.11,96.295,96.025,96.27,,,,,,,0,0,0,0,0,0,86.69277500000007
1703082600,96.23,96.52,96.025,96.43,,,,,,,0,0,0,0,0,0,86.73002500000008
1703097000,96.435,96.465,94.825,94.84,,,,,,,0,0,0,0,0,0,86.75955000000008
1703169000,95.815,96.115,95.095,95.37,,,,,,,0,0,0,0,0,0,86.79050000000007
1703183400,95.385,95.97,95.265,95.885,,,,,,,0,0,0,0,0,0,86.82352500000006
1703255400,96.205,96.305,95.915,96.175,,,,,,,0,0,0,0,0,0,86.85767500000007
1703269800,96.18,96.215,95.55,96.01,,,,,,,0,0,0,0,0,0,86.90147500000008
1703601000,96.125,96.57,96.125,96.305,,,,,,,0,0,0,0,0,0,86.94745000000007
1703615400,96.32,96.62,96.225,96.435,,,,,,,0,0,0,0,0,0,86.99405000000007
1703687400,96.44,96.62,96.025,96.37,,,,,,,0,0,0,0,0,0,87.04207500000008
1703701800,96.39,96.49,96.18,96.475,,,,,,,0,0,0,0,0,0,87.09140000000008
1703773800,96.8,96.86,96.5025,96.645,,,,,,,0,0,0,0,0,0,87.14682500000008
1703788200,96.65,96.76,96.485,96.56,,,,,,,0,0,0,0,0,0,87.20242500000008
1703860200,96.615,96.775,95.76,96.075,,,,,,,0,0,0,0,0,0,87.25365000000009
1703874600,96.085,96.425,96.065,96.24,,,,,,,1,0,0,0,0,0,87.31122500000009
1704205800,94.965,95.075,93.455,93.76,,,,,,,1,0,0,0,0,0,87.35425000000008
1704220200,93.76,93.83,93.125,93.765,,,,,,,1,0,0,0,0,0,87.4010000000001
1704292200,92.875,93.37,92.665,92.925,,,,,,,1,0,0,0,0,0,87.44540000000008
1704306600,92.93,93.14,92.6,92.75,,,,,,,0,0,0,0,0,0,87.4888500000001
1704378600,92.215,92.825,92.09,92.545,,,,,,,0,0,0,0,0,0,87.53122500000009
1704393000,92.56,92.615,91.995,92.09,,,,,,,0,0,0,0,0,0,87.5740500000001
1704465000,92.185,92.85,92.055,92.28,,,,,,,0,0,0,0,0,0,87.61802500000009
1704479400,92.28,92.44,91.71,92.06,,,,,,,0,0,0,0,0,0,87.65572500000009
1704724200,92.43,93.945,92.43,93.855,,,,,,,0,0,0,0,0,0,87.70107500000009
1704738600,93.8575,94.42,93.84,94.375,,,,,,,0,0,0,0,0,0,87.75090000000007
1704810600,93.645,94.79,93.445,94.54,,,,,,,0,0,0,0,0,0,87.80393750000009
1704825000,94.53,94.71,94.22,94.535,,,,,,,0,0,0,0,0,0,87.85856250000008
1704897000,94.595,95.1175,94.375,94.96,,,,,,,0,0,0,0,0,0,87.91756250000007
1704911400,94.96,95.53,94.96,95.34,,,,,,,1,0,0,0,0,0,87.97948750000009
1704983400,95.75,96.265,94.47,95.275,,,,,,,1,0,0,0,0,0,88.04408750000007
1704997800,95.31,95.855,95.245,95.785,,,,,,,1,0,0,0,0,0,88.11151250000007
1705069800,96,96.34,95.645,96.035,,,,,,,1,0,0,0,0,0,88.17921250000009
1705084200,96.05,96.23,95.89,96.115,,,,,,,1,0,0,0,0,0,88.24103750000008
1705415400,96.005,96.76,95.45,96.115,,,,,,,1,0,0,0,0,0,88.30121250000008
1705429800,96.115,96.395,95.725,96.3725,,,,,,,1,0,0,0,0,0,88.36327500000009
1705501800,95.645,95.75,94.85,95.42,,,,,,,1,0,0,0,0,0,88.42067500000009
1705516200,95.41,95.9975,95.205,95.9,,,,,,,1,0,0,0,0,0,88.47210000000008
1705588200,97.16,97.82,96.8,96.855,,,,,,,1,0,0,0,0,0,88.52892500000009
1705602600,96.8475,97.92,96.8475,97.815,,,,,,,0,0,0,0,0,0,88.59742500000007
1705674600,98.485,99.5075,98.255,99.49,,,,,,,0,0,0,0,0,0,88.67737500000008
1705689000,99.495,100.105,99.49,100.105,,,,,,,0,0,0,0,0,0,88.75895000000008
1705933800,100.69,101.13,100.145,100.405,,,,,,,0,0,0,0,0,0,88.83917500000008
1705948200,100.395,100.725,100.395,100.505,,,,,,,0,0,0,0,0,0,88.91632500000009
1706020200,100.56,100.735,100.035,100.66,,,,,,,0,0,0,0,0,0,88.99447500000008
1706034600,100.665,100.995,100.54,100.93,,,,,,,0,0,0,0,0,0,89.0659750000001
1706106600,101.625,102.645,101.335,102.475,,,,,,,0,0,0,0,0,0,89.14480000000009
1706121000,102.47,102.475,101.535,101.64,,,,,,,0,0,0,0,0,0,89.21630000000009
1706193000,102.66,103.075,102.085,102.24,,,,,,,0,0,0,0,0,0,89.29052500000009
1706207400,102.235,102.285,101.575,102.06,,,,,,,0,0,0,0,0,0,89.3611500000001
1706279400,101.365,101.7845,100.74,100.885,,,,,,,0,0,0,0,0,0,89.42662500000007
1706293800,100.925,101.115,100.645,100.855,,,,,,,0,0,0,0,0,0,89.49142500000009
1706538600,101.04,101.325,100.805,101.145,,,,,,,0,0,0,0,0,0,89.55675000000008
1706553000,101.15,101.8175,101.085,101.785,,,,,,,0,0,0,0,0,0,89.62375000000009
1706625000,101.75,101.91,100.75,101.04,,,,,,,0,0,0,0,0,0,89.68687500000009
1706639400,101.05,101.095,100.655,100.945,,,,,,,0,0,0,0,0,0,89.7558000000001
1706711400,100.025,100.41,99.015,99.645,,,,,,,0,0,0,0,0,0,89.8166000000001
1706725800,99.65,100.275,98.81,98.81,,,,,,,0,0,0,0,0,0,89.88025000000009
1706797800,99.205,99.98,99.17,99.735,,,,,,,0,0,0,0,0,0,89.94790000000008
1706812200,99.76,100.2225,99.575,100.09,,,,,,,0,0,0,0,0,0,90.01530000000008
1706884200,99.4625,101.385,99.36,101.055,,,,,,,0,0,0,0,0,0,90.08855000000008
1706898600,101.06,101.44,100.92,101.105,,,,,,,0,0,0,0,0,0,90.16087500000009
1707143400,101.495,101.645,100.4,101.255,,,,,,,0,0,0,0,0,0,90.23292500000007
1707157800,101.255,101.575,101.145,101.34,,,,,,,0,0,0,0,0,0,90.31027500000008
1707229800,101.46,101.64,100.24,100.605,,,,,,,0,0,0,0,0,0,90.38700000000009
1707244200,100.63,100.895,100.275,100.88,,,,,,,0,0,0,0,0,0,90.46220000000008
1707316200,101.56,102.215,101.2,102.06,,,,,,,0,0,0,0,0,0,90.54500000000009
1707330600,102.065,102.245,101.98,102.225,,,,,,,0,0,0,0,0,0,90.62510000000009
1707402600,102.37,102.805,102.27,102.72,,,,,,,0,0,0,0,0,0,90.70815000000007
1707417000,102.72,102.79,102.37,102.545,,,,,,,0,0,0,0,0,0,90.79907500000009
1707489000,102.905,103.905,102.845,103.89,,,,,,,0,0,0,0,0,0,90.8961250000001
1707503400,103.895,104.05,103.795,103.95,,,,,,,0,0,0,0,0,0,90.9915750000001
