time,open,high,low,close,MA,200-Week SMA,Weekly RSI,RSI + Below MA,AB4 Buy Signal,StochRSI %K
1493645400,238.68,239.72,237.7,239.7,201.94631679999986,201.94631679999986,68.21033520102739,0,0,80.87153931339981
1494250200,239.75,240.19,238.13,238.98,202.3036668499999,202.3036668499999,66.41477622934991,0,0,89.84344626063735
1494855000,239.47,240.67,235.43,238.31,202.6493668499999,202.6493668499999,64.7077784007094,0,0,86.12183153024394
1495459800,238.9,242.08,238.82,241.71,203.0123668499999,203.0123668499999,69.05443621338173,0,0,86.4200532066891
1496151000,241.34,244.35,240.64,244.17,203.37846684999985,203.37846684999985,71.76412024336108,0,0,89.66821854596897
1496669400,243.97,245.01,241.95,243.41,203.74896684999987,203.74896684999987,69.7326085226451,0,0,94.37097408395232
1497274200,243.13,244.87,241.6337,242.64,204.13301684999988,204.13301684999988,67.64331869375927,0,0,89.65342049563793
1497879000,243.59,244.73,242.41,243.13,204.51556684999989,204.51556684999989,68.29433179323217,0,0,85.44776119402984
1498483800,243.9,244.38,239.955,241.8,204.90631689999987,204.90631689999987,64.50090416552334,0,0,81.44278606965175
1499088600,242.88,243.38,240.34,242.11,205.2866669499999,205.2866669499999,64.98904577260474,0,0,79.6049751243782
1499693400,241.95,245.97,240.85,245.56,205.66781694999986,205.66781694999986,69.9426500266442,0,0,83.26623790409035
1500298200,245.47,247.42,244.67,246.88,206.04861694999988,206.04861694999988,71.59841775814127,0,0,90.01334829436729
1500903000,246.79,248,245.68,246.91,206.43862194999986,206.43862194999986,71.63665953926245,0,0,94.85620164891509
1501507800,247.37,247.79,246.37,247.41,206.83122194999984,206.83122194999984,72.30595127324855,0,0,94.30698405298965
1502112600,247.49,248.91,243.7,244.12,207.20052199999986,207.20052199999986,61.947548691721366,0,0,83.70024007988498
1502717400,245.59,247.57,242.2,242.71,207.54213199999987,207.54213199999987,58.105657509059185,0,0,71.2593649647041
1503322200,242.64,245.62,241.83,244.56,207.88518199999987,207.88518199999987,61.481109978706144,0,0,58.45327267255437
1503927000,245.17,248.33,242.93,247.84,208.24333199999987,208.24333199999987,66.61672393867428,0,0,66.31510353253623
1504618200,247.26,247.52,244.95,246.58,208.58978199999987,208.58978199999987,63.13442370299225,0,0,72.97346402385979
1505136600,248.04,250.32,248.02,249.19,208.93548199999987,208.93548199999987,66.98438987827235,0,0,83.7101032848221
1505741400,249.61,250.19,248.92,249.44,209.2786319999999,209.2786319999999,67.33626287769495,0,0,84.86294365109575
1506346200,249.15,251.32,248.08,251.23,209.62978199999986,209.62978199999986,69.81671487926258,0,0,93.27196992993738
1506951000,251.49,254.7008,251.2926,254.37,209.99693199999987,209.99693199999987,73.6035147967545,0,0,96.1381637455529
1507555800,254.63,255.27,253.65,254.95,210.38113199999987,210.38113199999987,74.24624605792135,0,0,98.22848736791809
1508160600,255.21,257.14,254.35,257.11,210.75888199999986,210.75888199999986,76.53747511422584,0,0,98.4271389053052
1508765400,257.48,257.89,254,257.71,211.12820699999986,211.12820699999986,77.14571894493983,0,0,98.82137084877729
1509370200,257.07,258.5,256.19,258.45,211.50603199999986,211.50603199999986,77.9064541953187,0,0,99.4611042058507
