time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,degree,Cycle low,MA,STH MVRV,MVRV SMA
1238592600,106.12,106.56,97.39,98.08,10,0,,,1,0,3,0,,,
1241184600,97.12,98.25,90.23,94.17,11,0,,,1,0,3,0,,,
1243863000,92.34,95.37,87.56,94.57001,12,1,87.56,0,1,0,3,1,,,
1246455000,93.42,96.81,89.94,94.81,13,0,,,1,0,3,0,,,
1249306200,93.81,96.86,90.21899,96.60001,14,0,,,1,0,3,0,,,
1251811800,95.82001,99.17,93.52,98.66,15,0,,,1,0,3,0,,,
1254403800,98.96001,100.31,93.55,95.78,16,0,,,1,0,3,0,,,
1257172200,95.50999,96.73,92.45,96.63,5,0,,,0,0,3,0,,,
1259677800,95.75999,95.96001,89.05,89.89,6,0,,,0,0,3,0,,,
1262615400,89.84,92.39,88.75999,92.31,7,0,,,0,0,3,0,,,
1265034600,91.71001,92.42,88.50999,91.67,8,0,,,0,0,3,0,,,
1267453800,91.33,91.67999,88.27,89.5,9,0,,,1,0,3,0,,,
1270128600,88.77,92.17,87.3,92.13,10,1,87.3,0,1,0,3,1,,,
1272893400,91.42,100,91.28,96.5,11,0,,,1,0,3,0,,,
1275399000,97.23,101.78999,95.10001,101.75,12,0,,,1,0,3,0,,,
1277991000,101.57001,102.66,97.92,100.48,13,0,,,1,0,3,0,,,
1280755800,99.24001,109.34,98.56,108.56,14,0,,,1,0,3,0,,,
1283347800,107.02,107.05,100.85001,105.50999,5,0,,,0,0,3,0,,,
1285939800,104.23,106.10001,99.16,100.42,6,0,,,0,0,3,0,,,
1288618200,100.8,102.27,93.81,98.41,7,0,,,0,0,3,0,,,
1291213800,96.64999,97.11,90.47,94.12,8,0,,,0,0,3,0,,,
1294065000,93.2,94.31,90.39,91.22,9,0,,,1,0,3,0,,,
1296570600,90.55,92.52,88.14,92.39999,10,1,88.14,0,1,0,3,1,,,
1298989800,91.52,94.94,89.64999,92.13,11,0,,,1,0,3,0,,,
1301664600,91.5,93.92,89.64999,93.89,12,0,,,1,0,3,0,,,
1304343000,93.32001,96.75999,93.17,96.69,13,0,,,1,0,3,0,,,
1306935000,96.92,97.74001,93.14,94.10001,14,0,,,1,0,3,0,,,
1309527000,94.13,98.53,93.36501,97.92,5,0,,,0,0,3,0,,,
1312205400,97.39,112.14,97.35001,107.03,6,0,,,0,0,3,0,,,
1314883800,107.47,123.87,106.08,120.8,7,0,,,0,0,3,0,,,
1317648600,121.88,125.03,109.82001,115.88,8,0,,,0,0,3,0,,,
1320154200,118.71001,123.05,115.21001,117.88,9,0,,,1,0,3,0,,,
1322749800,116.28999,124.02,115.8,121.25,10,0,,,1,0,3,0,,,
1325601000,119.42,121.64,115.55,120.85001,11,0,,,1,0,3,0,,,
1328106600,119.75,119.89999,114.62,117.42999,12,0,,,1,0,3,0,,,
1330612200,116.17,118.11,109.69,112.2,13,1,109.69,1,1,0,3,1,,,
1333373400,113,118.41,110.57001,117.32001,14,0,,,1,0,3,0,,,
1335879000,117.42999,129.08,116.0714,127.60001,15,0,,,1,0,3,0,,,
1338557400,128.87,130.38,124.09,125.2,16,0,,,1,0,3,0,,,
1341235800,125.45,132.215,125.21001,129.7,17,0,,,1,0,3,0,,,
1343827800,128.53,130.69,120.52,127.72,5,0,,,0,0,3,0,,,
1346765400,126.92,127.63,118.05,124.22,6,0,,,0,0,3,0,,,
1349098200,123.97,124.78,119.87,123.36,7,0,,,0,0,3,0,,,
1351776600,122.77,127.19,121.24001,124.78999,8,0,,,0,0,3,0,,,
1354545000,123.72,126.08,119.89999,121.17999,9,0,,,1,0,3,0,,,
1357137000,119.75999,120.7,116.16,117.32001,10,0,,,1,0,3,0,,,
1359729000,117.73,119.67,115.50999,118.50999,11,0,,,1,0,3,0,,,
1362148200,118.84,119.21001,114.6201,117.75999,12,0,,,1,0,3,0,,,
1364823000,117.52,123.78999,117.49001,123.00999,13,0,,,1,0,3,0,,,
1367415000,123.46001,124.25999,113.17,114.45,14,0,,,1,0,3,0,,,
1370266200,113.78,116.785,107.75999,110.44,15,0,,,1,0,3,0,,,
1372685400,109.73,110.8,105.85001,107.7,16,0,,,1,1,3,0,,,
1375363800,106.49001,107.6299,102.11,105.99001,17,0,,,1,1,3,0,,,
1378215000,104.59,107.27901,102.19,106.39999,18,0,,,2,1,3,0,,,
1380634200,105.89999,108.73,104.27,107.64,19,0,,,2,1,3,0,,,
1383312600,106.97,107,102.16,104.45,20,0,,,2,1,3,0,,,
1385994600,103.8,104.41,101.17,101.86,21,1,101.17,-1,2,1,3,1,,,
1388673000,101.72,108.41,101.69,108.28,22,0,,,2,1,3,0,,,
1391437800,107.7899,109.34,105.62,108.57,23,0,,,2,1,3,0,,,
1393857000,108.88,111.07,105.6,109.1,24,0,,,2,1,3,0,,,
1396359000,108.26,111.99,107.17,111.1,25,0,,,2,0,3,0,,,
1398951000,110.88,115.19,110.54,114.1,5,0,,,0,0,3,0,,,
1401715800,113.04,113.82,110.74,113.52,6,0,,,0,0,3,0,,,
1404221400,112.5,116.07,110.34,113.98,7,0,,,0,0,3,0,,,
1406899800,113.58,119.43,113.05,119.05,8,0,,,0,0,3,0,,,
1409664600,117.28,117.38,112.73,116.27,9,0,,,1,0,3,0,,,
1412170200,116.89,127.68,116.825,119.25,10,0,,,1,0,3,0,,,
1415025000,118.9,122.67,118.211,122.49,11,0,,,1,0,3,0,,,
1417444200,122.68,127.72,120.13,125.92,12,0,,,1,0,3,0,,,
1420209000,126.29,138.5,126.15,138.28,13,0,,,1,0,3,0,,,
1422887400,136.7,137.92,125.92,129.53,14,0,,,1,0,3,0,,,
1425306600,129,132.76,122.97,130.69,15,0,,,1,0,3,0,,,
1427895000,131.33,132.48,124.51,125.95,16,0,,,1,0,3,0,,,
1430487000,124.73,125.04,118.13,122.71,17,0,,,1,0,3,0,,1.2329929090349325,
1433165400,122.11,122.38,114.88,117.46,18,1,114.88,1,2,0,3,1,,1.1775743233036033,
1435757400,115.82,122.9,115.39,122.53,19,0,,,2,0,3,0,,1.22559255922305,
1438608600,122.32,128.92,121.19,121.42,20,0,,,2,0,3,0,,1.2120636377454768,
1441114200,121.64,124.29,118.55,123.54,21,0,,,2,0,3,0,,1.230309690492865,
1443706200,124.08,126.21,121.66,122.78,22,0,,,2,0,3,0,,1.2198231412777676,
1446474600,121.78,122.1799,118,121.45,5,0,,,0,0,3,0,,1.20407195846543,
1448980200,121.26,124.1,118.99,120.58,6,0,,,0,0,3,0,,1.1929652318756847,
1451917800,121.93,127.92,120.66,127.3,7,0,,,0,0,3,0,,1.2564961244447979,
1454337000,126.79,135.25,126.29,130.98,8,0,,,0,0,3,0,,1.2893639941215,
1456842600,130.82,131.09,127.21,130.61,9,0,,,1,0,3,0,,1.2823695423038646,
1459517400,130.98,132.99,127.12,129.38,10,0,,,1,0,3,0,,1.267500587781521,
1462195800,128.66,132.32,127.8,130.16,11,0,,,1,0,3,0,,1.272114036431546,
1464787800,130.63,140.13,130.11,138.9,12,0,,,1,0,3,0,,1.352761694336916,
1467379800,140.81,143.62,136.985,141.56,13,0,,,1,0,3,0,,1.3736694034788375,
1470058200,139.78,140.86,137.32,139.87,14,0,,,1,0,3,0,,1.3528953258274463,
1472736600,138.62,140.42,133.03,137.51,15,0,,,1,0,3,0,,1.3257397142661185,
1475501400,137.68,137.77,130.0649,131.25,16,0,,,1,0,3,0,,1.2617671880770087,
1478007000,130.16,132.11,119.25,120.24,17,0,,,1,0,3,0,,1.1534341150548229,
1480602600,118.51,120.62,116.8,119.13,18,0,,,2,0,3,0,,1.1405210563479633,
1483453800,118.41,123.14,118.18,120.1,19,0,,,2,0,3,0,,1.147579080290579,
1485959400,119.1,122.27,118.4743,121.74,20,0,,,2,0,3,0,,1.1609458231164276,
1488378600,119.44,121.97,116.49,120.71,21,1,116.49,1,2,0,3,1,,1.148504060823277,
1491226200,120.45,124.98,120.36,122.35,22,0,,,2,0,3,0,,1.1613099754845027,
1493645400,121.69,124.645,119.91,124.4,23,0,,,2,0,3,0,,1.1778288142843876,
1496323800,123.7,128.57,123.66,125.12,24,0,,,2,0,3,0,,1.1817201867692135,
1499088600,125,126.03,122.585,124.04,25,0,,,2,0,3,0,,1.1689364985312474,
1501594200,123.18,128.5225,123.16,127.99,5,0,,,0,0,3,0,,1.2032535237260749,
1504272600,127.31,129.565,123.97,124.76,6,0,,,0,0,3,0,,1.1703805533240281,
1506951000,124.81,126.09,122.42,124.46,7,0,,,0,0,3,0,,1.1649209098816056,
1509543000,124.35,127.29,123.96,125.12,8,0,,,0,0,3,0,,1.1685179299115362,
1512138600,125.87,128.585,123.95,126.86,9,0,,,1,0,3,0,,1.1822642009952007,
1514903400,126.49,126.51,121.7,122.73,10,0,,,1,0,3,0,,1.1415298627303074,
1517495400,122.48,122.53,116.51,118.75,11,0,,,1,0,3,0,,1.102564807115062,
1519914600,118.43,122.29,117.59,121.9,12,0,,,1,0,3,0,,1.129817996489098,
1522675800,121.35,122.3573,116.94,119.1,13,0,,,1,0,3,0,,1.102277997427192,
1525181400,118.77,122.52,116.09,121.22,14,0,,,1,0,3,0,,1.1202585701138525,
1527859800,120.17,122.5,118.42,121.72,15,0,,,1,0,3,0,,1.1229637757376523,
1530538200,121.74,122.92,118.97,119.7,16,0,,,1,0,3,0,,1.1027713852977234,
1533130200,118.285,122.33,118.07,120.995,17,0,,,1,0,3,0,,1.1127974009570307,
1536067800,119.96,120.4,116.19,117.27,18,0,,,2,0,3,0,,1.0767819952214326,
1538400600,116.66,117.13,112.62,113.58,19,0,,,2,1,3,0,,1.0414453829142887,
1541079000,112.85,115.76,111.9,115.33,20,1,111.9,-1,2,1,3,1,,1.0560279050090409,
1543847400,114.68,122.03,114.66,121.51,21,0,,,2,0,3,0,,1.1105921973163553,
1546439400,121.66,123.86,119.385,121.97,22,0,,,2,0,3,0,,1.1127873395777523,
1549031400,121.48,122.54,119.71,120.02,23,0,,,2,0,3,0,105.08007509999997,1.092864168055835,
1551450600,119.33,126.69,118.64,126.44,24,0,,,2,0,3,0,105.29962509999997,1.1484700930569252,
1554125400,125.29,125.3565,122.11,123.65,5,0,,,0,0,3,0,105.48247509999999,1.1205029980300583,
1556717400,123.69,131.9,123.04,131.83,6,0,,,0,0,3,0,105.68962515,1.1913202483360965,
1559568600,131.91,133.505,130.12,132.81,7,0,,,0,0,3,0,105.92002514999999,1.19689588609827,
1561987800,132.57,134.29,129.68,132.89,8,0,,,0,0,3,0,106.15672514999999,1.194504730683702,
1564666200,133.39,148.9,133.26,147.28,9,0,,,1,0,3,0,106.45027509999998,1.319422267941588,
1567517400,147.09,148.67,136.54,143.08,10,0,,,1,0,3,0,106.72537509999998,1.2778617902027787,
1569936600,141.26,146.03,136.99,141.24,11,0,,,1,0,3,0,106.97922509999998,1.257825788090107,
1572615000,140.73,141.31,134.45,140.42,12,0,,,1,0,3,0,107.23682514999999,1.2467988793505806,
1575297000,138.14,141.77,135.38,135.48,13,0,,,1,0,3,0,107.46697514999998,1.1996424949510547,
1577975400,136.79,145.99,135.905,145.9,14,0,,,1,0,3,0,107.72347509999997,1.2878075814829377,
1580740200,144.945,155.9799,141.9,155.31,15,0,,,1,0,3,0,108.03752509999998,1.365653483891523,
1583159400,155.3,179.7,139.0105,164.97,16,0,,,1,0,3,0,108.44762509999998,1.4443493897563038,
1585747800,168.48,172.15,163.48,166.74,17,0,,,1,0,3,0,108.86307514999999,1.4532496042893723,
1588339800,167.5,168.49,161.66,163.59,18,0,,,2,0,3,0,109.23992514999998,1.4195357343648767,
1591018200,162.1,165.32,153.16,163.93,19,0,,,2,0,3,0,109.63362514999999,1.4164380857604673,
1593610200,162.81,171.4554,161.75,171,20,0,,,2,0,3,0,110.06297514999999,1.470793468571394,
1596461400,169.24,172.25,160.64,162.19,21,0,,,2,0,3,0,110.44667514999999,1.389353196525624,
1598967000,161.76,167.24,161.18,163.26,22,0,,,2,0,3,0,110.82777519999998,1.3928780470442996,
1601559000,162.51,163.7401,156.75,157.57,23,0,,,2,0,3,0,111.17232519999997,1.3396733257990137,
1604327400,158.7,162.17,154.625,160.02,24,0,,,2,0,3,0,111.52467519999999,1.3555236126383663,
1606833000,158.55,159.39,154.77,157.73,25,0,,,2,0,3,0,111.89512519999998,1.3315594189151745,
1609770600,156.67,158.18,149.925,152,26,0,,,2,0,3,0,112.23962515,1.2791618761122368,
1612189800,151.66,152.36,136.61,143.12,27,0,,,2,0,3,0,112.53697519999997,1.201351272476894,
1614609000,140.66,141.41,133.19,135.45,28,1,133.19,0,2,0,3,1,112.79127519999999,1.134368477669982,
1617283800,136.55,140.98,135.94,138.64,29,0,,,2,0,3,0,113.04562519999998,1.1580581938318535,
1620048600,138.7,140.6,135.36,138.44,30,0,,,2,0,3,0,113.29657519999999,1.1535218556414981,
1622554200,137.82,146.04,137.25,144.35,31,0,,,2,0,3,0,113.57112519999998,1.1993691770286068,
1625146200,143.98,152.71,143.53,149.52,32,0,,,2,0,3,0,113.88402519999998,1.2386284949657789,
1627911000,149.454,151.82,145.43,148.83,5,0,,,0,0,3,0,114.1854252,1.229367781149408,
1630503000,149.27,151.79,143.64,144.32,6,0,,,0,0,3,0,114.44847514999998,1.188852013875936,
1633095000,144.85,148.33,141.45,147.69,7,0,,,0,0,3,0,114.73682514999999,1.2139051080615448,
1635773400,145.8,152.07,144.46,151.59,8,0,,,0,0,3,0,115.04812514999998,1.2438338209280988,
1638369000,150.485,155.12,146.41,148.19,9,0,,,1,0,3,0,115.32687514999998,1.2130821659712538,
1641220200,146.41,146.94,140.02,142.39,10,0,,,1,0,3,0,115.56382514999997,1.1631149871451276,
1643725800,142.28,143.57,134.51,139.87,11,0,,,1,0,3,0,115.77967514999999,1.140477199972581,
1646145000,140.36,142.33,127.65,132.08,12,0,,,1,1,3,0,115.97452514999999,1.0750360168756337,
1648819800,130.01,132.96,118.67,119.45,13,0,,,1,1,3,0,116.0918251,0.9709479946996739,
1651498200,117.86,119.737,112.62,116.56,14,0,,,1,1,3,0,116.21362509999999,0.9463653171331791,
1654090200,117.03,117.34,108.115,114.87,15,0,,,1,1,3,0,116.33907509999999,0.931665026770659,
1656682200,115.9,119.305,112.05,117.43,16,0,,,1,1,3,0,116.47622509999998,0.9513911935057099,
1659360600,118.25,120.69,110.86,111.88,17,0,,,1,1,3,0,116.57612515,0.9058004431573328,
1662039000,109.87,110.56,100.9,102.45,18,0,,,2,1,3,0,116.63502514999999,0.8291646022009729,
1664803800,103.85,104.68,91.85,96.11,19,1,91.85,0,2,1,3,1,116.65882509999997,0.7778738285960863,
1667309400,97.38,103.805,93.24,102.73,20,0,,,2,1,3,0,116.73812509999998,0.830896234176992,
1669905000,103.15,109.68,99.35,99.56,21,0,,,2,1,3,0,116.81512509999999,0.8049522535459578,
1672756200,102.2,108.77,100.84,107.17,22,0,,,2,1,3,0,116.93262509999998,0.8657798500239569,
1675261800,107.55,109.352,100.28,101.71,23,0,,,2,1,3,0,117.01957504999999,0.8211483187417565,
1677681000,100.82,109.1,98.88,106.37,5,0,,,0,0,3,0,117.12242504999999,0.858134001581949,
1680528600,105.88,108.87,103.475,106.46,6,0,,,0,0,3,0,117.21432504999999,0.8584150705914017,
1682947800,105.27,106.6,100,102.99,7,0,,,0,0,3,0,117.28232504999998,0.8303819802832865,
1685626200,103.28,103.95,100.78,102.94,8,0,,,0,0,3,0,117.34797504999999,0.8298726496479337,
1688391000,102.84,103.255,98.85,100.05,9,0,,,1,0,3,0,117.39057504999997,0.8069314606724075,
1690896600,98.84,98.915,92.23,96.64,10,0,,,1,0,3,0,117.43162509999998,0.7797887542311279,
1693575000,95.8,95.82,87.1,88.69,11,0,,,1,1,3,0,117.43732509999998,0.7160774219828051,
1696253400,87.82,88.47,82.42,83.58,12,1,82.42,0,1,1,3,1,117.40447514999998,0.6753413035259984,
1698845400,84.04,92.695,84.02,91.56,13,0,,,1,1,3,0,117.42087514999997,0.7399198712003247,
1701441000,91.31,100.57,91.1316,98.88,14,0,,,1,0,3,0,117.47152514999998,0.7987556714146439,
1704205800,98.2293,98.85,93.1,96.66,15,0,,,1,0,3,0,117.52292514999998,0.7806491267011354,
1706797800,97.42,98.67,92.0063,94.18,16,0,,,1,0,3,0,117.56797514999998,0.7605388206777216,
1709303400,93.44,96.4,92.29,94.62,5,0,,,0,0,3,0,117.60277514999999,0.7640629265369724,
1711978200,93.29,93.3,87.34,88.22,6,0,,,0,0,3,0,117.59947514999998,0.7126969789367619,
1714570200,88.6,92.4205,88.025,90.45,7,0,,,0,0,3,0,117.60812514999998,0.7308513665583157,
1717421400,90.64,94.84,90.61,91.78,8,0,,,0,0,3,0,117.61712514999998,0.7418354384484606,
1719840600,90.42,94.84,89.82,94.81,9,0,,,1,0,3,0,117.61927514999998,0.7668148327765094,
1722519000,95.14,99.935,94.84,96.49,10,0,,,1,0,3,0,117.63650014999997,0.7813937190817432,
1725370200,97.56,101.64,97.42,98.1,11,0,,,1,0,3,0,117.65205009999998,0.7951704600569237,
1727789400,98.8,99.33,90.9837,92.45,12,0,,,1,0,3,0,117.64315009999997,0.7503710691564318,
1730467800,92.26,93.985,89.424,93.97,13,0,,,1,0,3,0,117.63355009999998,0.7637992509690676,
1733149800,93.27,94.85,86.98,87.33,14,0,,,1,0,3,0,117.60462504999998,0.7110784607934015,
