time,open,high,low,close,S1 fair (MVRV 1.0x),S1 deep (MVRV 0.5x),S1 LOI floor,S3 VWAP upper,S3 VWAP lower,S3 LOI ceiling,S3 Early,S3 Watch,S3 Terminal-probable,S3 Terminal-confirmed,S1 Early,S1 Confirmed,STH MVRV,MVRV SMA
1754933400,405.3,406.62,398.94,400.25,,,,414.04174366592645,367.10211167519094,,0,0,0,0,0,0,1.018861553649011,
1755005400,400.61,401.6,390.12,394.2,,,,413.8324711728428,367.688806240115,,0,0,0,0,0,0,1.0021559120777577,
1755019800,394.225,395.68,391.3,394.56,,,,413.6787507146476,367.96588571224123,,0,0,0,0,0,0,1.001810101513114,
1755091800,397.5,399.48,383.5,388.64,,,,413.08076124629963,368.5353857611093,,0,0,0,0,0,0,0.9860255538528675,
1755106200,388.56,390.57,384.1,389.99,,,,412.75339209848556,368.7343884154521,,0,0,0,0,0,0,0.9886905296393144,
1755178200,380,380.98,365,371.49,,,,412.6519797969162,366.34226443905743,,0,0,0,0,0,0,0.9414442919995479,
1755192600,371.4,375.54,367.57,373.01,,,,412.5147943068769,365.22086239196307,,0,0,0,0,0,0,0.9448735061319529,
1755264600,372.02,372.6,360.01,365.11,,,,412.8672139556781,362.2985581648973,,0,0,0,0,0,0,0.9245806270370488,
1755279000,365.23,368.99,364.92,366.4,,,,412.8536687331064,361.0726788495761,,0,0,0,0,0,0,0.9276006182153015,
1755523800,359.71,367.55,358.01,366.89,,,,412.9373542326842,359.68670747962796,,0,0,0,0,0,0,0.9288716269306693,
1755538200,367.04,367.52,362.05,363.53,,,,412.94193926517,359.19974675882196,,0,0,0,0,0,0,0.9204431451409699,
1755610200,363.34,364.85,336.14,339.76,,,,415.7454938941397,351.6635966431803,,0,0,0,0,0,0,0.8605109310205458,
1755624600,339.68,342.21,333.41,336.81,,,,417.70076407834495,346.7508313444438,,0,0,0,0,0,0,0.8534917302255587,
1755696600,339.39,342.94,325.57,339.07,,,,419.82960847108546,340.32223811500734,,0,0,0,0,0,0,0.8598056793700608,
1755711000,339.12,345.5,337.81,344.37,,,,420.02461338193604,338.8800212499992,,0,0,0,0,0,0,0.8737770626717347,
1755783000,340.05,343.33,334.89,335.51,,,,420.48024080894044,336.55702985980685,,0,0,0,0,0,0,0.8519266171522885,
1755797400,335.46,339.69,335.24,337.4,,,,420.7123118481835,335.1825456504056,,0,0,0,0,0,0,0.8573228795143897,
1755869400,335.67,359.54,332.62,356.94,,,,419.91104324354774,332.8614735575924,,0,0,0,0,0,0,0.907511070223737,
1755883800,356.85,359.35,354.55,358.1,,,,419.27081450567044,332.5090955367962,,0,0,0,0,0,0,0.9108160669427781,
1756128600,344.91,351.51,339.2,346.31,,,,418.9511726945318,331.09483861852243,,0,0,0,0,0,0,0.881553166542167,
1756143000,346.32,347.49,342.75,343.19,,,,418.78344996279145,330.3102761704405,,0,0,0,0,0,0,0.8743435575360006,
1756215000,341.62,347.82,340.68,345.63,,,,418.49523249055324,329.2437445321036,,0,0,0,0,0,0,0.8811017223313289,
1756229400,345.69,351.94,345.06,351.5,,,,418.18270001047506,328.81233994223044,,0,0,0,0,0,0,0.8965778725584884,
1756301400,348.68,351.77,343.16,347.23,,,,417.8441154475522,328.1956249691442,,0,0,0,0,0,0,0.8862037265882112,
1756315800,347.29,349.61,341.84,342.17,,,,417.6440204334566,327.6460807963946,,0,0,0,0,0,0,0.8739092375218587,
