time,open,high,low,close,Plot,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1769178600,160.94,168.95,158.72,167.47,167.47,0,0,0,0
1769193000,167.46,167.82,162.51,163.16,163.16,0,0,0,0
1769437800,159.41,163.12,158.62,161.62,161.62,0,0,0,0
1769452200,161.6,163.9,160.29,160.52,160.52,0,0,0,0
1769524200,160.32,160.99,156.98,158.45,158.45,0,0,0,0
1769538600,158.5,161.64,157.72,161.62,161.62,0,0,0,0
1769610600,164.46,165.68,159.04,159.63,159.63,0,0,0,0
1769625000,159.6,160.44,156.99,158.37,158.37,0,0,0,0
1769697000,155.95,156.005,141.64,142.11,142.11,0,0,0,0
1769711400,142.05,143.24,139.365,143.24,143.24,0,0,0,0
1769783400,139.995,145.95,139.89,143.64,143.64,0,0,0,0
1769797800,143.62,151.13,142.8,149.73,149.73,0,0,0,0
1770042600,139.64,147.89,138,142.79,142.79,0,0,0,0
1770057000,142.7,144.66,139.39,139.7,139.7,0,0,0,0
1770129000,140.135,140.23,128.62,128.87,128.87,0,0,0,0
1770143400,128.8,133.46,126.75,133.27,133.27,0,0,0,0
1770215400,130.01,130.77,121.2,123.94,123.94,0,0,0,0
1770229800,124.03,129.505,123.11,128.77,128.77,0,0,0,0
1770301800,120.31,122,109.84,110.31,110.31,0,0,0,0
1770316200,110.33,111.46,104.17,106.96,106.96,0,0,0,0
1770388200,114.95,133.82,114.68,131.1,131.1,0,0,0,0
1770402600,131.17,135.6,131.1,134.9,134.9,0,0,0,0
1770647400,127.4,139.56,125.11,137.69,137.69,0,0,0,0
1770661800,137.73,138.84,135.56,138.43,138.43,0,0,0,0
1770733800,133.64,139.16,133.5,134.2,134.2,0,0,0,0
1770748200,134.17,135.8,132.67,132.92,132.92,0,0,0,0
1770820200,133.685,133.8,124.3,125.25,125.25,0,0,0,0
1770834600,125.25,127.37,123.92,126.16,126.16,0,0,0,0
1770906600,127.57,128.49,120.64,121.89,121.89,0,0,0,1
1770921000,121.71,124.63,120.9,122.86,122.86,0,0,0,0
1770993000,127.1,134.39,125.77,132.26,132.26,0,0,0,0
1771007400,132.3,135.25,132.13,133.89,133.89,0,0,0,0
1771338600,129.01,131.88,125.93,130.61,130.61,0,0,0,0
1771353000,130.65,132.12,128.37,128.68,128.68,0,0,0,0
1771425000,127.68,132.24,126.02,127,127,0,0,0,0
1771439400,126.99,127.33,123.62,125.21,125.21,0,0,0,0
1771511400,123.45,127.15,121.89,126.77,126.77,0,0,0,0
1771525800,126.76,130.04,125.93,129.47,129.47,0,0,0,1
1771597800,130.51,136.15,129.45,131.81,131.81,0,0,0,0
1771612200,131.75,133.95,130.34,130.945,130.945,0,0,0,0
1771857000,127.97,130.31,122.84,124.31,124.31,0,0,0,0
1771871400,124.34,125.88,123.35,123.685,123.685,0,0,0,0
1771943400,121.68,124.82,118.4,124.2,124.2,0,0,0,0
1771957800,124.22,126.67,123.78,124.6,124.6,0,0,0,0
1772029800,130.045,136.81,129,136.69,136.69,0,0,0,0
1772044200,136.69,137.86,135.17,135.68,135.68,0,0,0,0
1772116200,133.7,135.73,128.63,129.72,129.72,0,0,0,0
1772130600,129.66,134.31,129.55,133.46,133.46,0,0,0,0
1772202600,128.88,131.12,127.99,128.64,128.64,0,0,0,0
1772217000,128.57,130.1,127.87,129.63,129.63,0,0,0,0
1772461800,129.32,140.14,128.94,136.75,136.75,0,0,0,0
1772476200,136.8,138.61,136.09,137.67,137.67,0,0,0,0
