time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,degree,Cycle low,MA,STH MVRV,MVRV SMA
1322749800,12.275999,13.095,10.113,10.832001,19,0,,,2,0,3,0,,0.927744531118316,
1325601000,11.117999,12.150999,10.272,11.512,20,0,,,2,0,3,0,,0.9864899140370814,
1328106600,11.572,14.034,11.541,13.559,5,0,,,0,0,3,0,,1.1593805128956578,
1330612200,13.656,14.277,12.796001,14,6,0,,,0,0,3,0,,1.1935497690560126,
1333373400,13.967999,15.081,13.700999,13.978,7,0,,,0,0,3,0,,1.1907062253943108,
1335879000,13.981,16,12.011,12.198,8,0,,,0,0,3,0,,1.042941077886811,
1338557400,11.953,13.25,11.747,12.986,9,0,,,1,0,3,0,,1.1128951355581589,
1341235800,12.942,13.586,10.860001,11.646001,10,0,,,1,0,3,0,,1.0026194814023455,
1343827800,11.764999,12.992999,11.544,12.550999,11,0,,,1,0,3,0,,1.0899031080174773,
1346765400,12.608,13.716,12.485001,13.407001,12,0,,,1,0,3,0,,1.18745805974856,
1349098200,13.458,13.619,9.2,9.447,13,0,,,1,1,3,0,,0.8622442732794269,
1351776600,9.483,9.969,8.375999,8.849001,14,1,8.375999,0,1,1,3,1,,0.8561370677540786,
1354545000,8.927,9.700999,8.688,9.338,15,0,,,1,1,3,0,,0.9829224999811637,
1357137000,9.522,10.589,9.160001,10.027,16,0,,,1,1,3,0,,1.1568165015162188,
1359729000,10.089999,10.703,9.739,10.188,17,0,,,1,0,3,0,,1.246728264978003,
1362148200,10.089999,11.481,9.98,10.108,18,0,,,2,0,3,0,,1.2525300038412366,
1364823000,10.13,10.5,8.635001,9.019,5,0,,,0,0,3,0,,1.1266329168806237,
1367415000,8.805,9.610001,8.786501,9.148,6,0,,,0,0,3,0,,1.162279479131346,
1370266200,9.177,9.199001,8.272501,8.696001,7,0,,,0,0,3,0,,1.1172068243508586,
1372685400,8.75,9.942,8.712,9.500999,8,0,,,0,0,3,0,,1.2395048972570901,
1375363800,9.562,10.131,9.146001,9.181,9,0,,,1,0,3,0,,1.2163198463533726,
1378215000,9.264,10.888,9.016,10.375999,10,0,,,1,0,3,0,,1.3907567858933427,
1380634200,10.38,12.84,9.522,12.199,11,0,,,1,0,3,0,,1.630945297807742,
1383312600,12.255,13,12.00047,12.933,12,0,,,1,0,3,0,,1.7239725230316958,
1385994600,12.881,12.9995,12.0522,12.424,13,0,,,1,0,3,0,,1.6623967618694784,
1388673000,12.389,13.4,11.389,12.57,14,0,,,1,0,3,0,,1.6767197216638554,
1391437800,12.554,13.583,12.071,12.913,15,0,,,1,0,3,0,,1.707720471050126,
1393857000,12.834,13.294,11.238,11.539,16,0,,,1,0,3,0,,1.5169527987496494,
1396359000,11.614,12.689,9.879,12.143,17,1,9.879,1,1,0,3,1,,1.5850998463544643,
1398951000,12.086,14.613,11.5228,14.112,18,0,,,2,0,3,0,,1.8247418233412,
1401715800,14.113,14.499,13.76,14.062,19,0,,,2,0,3,0,,1.8020081872042526,
1404221400,14.079,15.586,13.565,14.313,20,0,,,2,0,3,0,,1.816388398063881,
1406899800,14.354,14.661,13.302,13.893,21,0,,,2,0,3,0,,1.744855364554726,
1409664600,13.968,14.345,12.948,13.084,5,0,,,0,0,3,0,,1.6296058156438828,
1412170200,13.033,16.573,12.746,16.088,6,0,,,0,0,3,0,,1.9835928195868133,
1415025000,16.057,17.696,15.51,17.174,7,0,,,0,0,3,0,,2.0952853907049658,
1417444200,17.094,17.444,15.28201,16.24,8,0,,,0,0,3,0,,1.9625653003217194,
1420209000,16.38,16.841,15.001,16.16,9,0,,,1,0,3,0,11.902203769999998,1.9326012206601892,
1422887400,16.342,18.2615,15.979,17.834,10,0,,,1,0,3,0,11.920748769999998,2.108743788674029,
1425306600,17.86,18.218,15.91,16.919,11,0,,,1,0,3,0,11.91534377,1.9776365839066814,
1427895000,16.872,19.78917,16.591,18.212,12,0,,,1,0,3,0,11.93343502,2.101856092477749,
1430487000,18.175,19.194,17.02,17.598,13,0,,,1,0,3,0,11.927675019999999,2.005462707225155,
1433165400,17.761,18.282,16.71775,17.008,14,0,,,1,0,3,0,11.951777519999998,1.9152276467577338,
1435757400,17.121,20.78,16.863,20.385,15,0,,,1,0,3,0,11.99745252,2.2638331862965746,
1438608600,20.438,22.6475,19.301,19.87,16,0,,,1,0,3,0,12.01805252,2.1769170464386827,
1441114200,19.4,21.4584,19.199,19.647,17,0,,,1,0,3,0,12.043787519999999,2.124821023433443,
1443706200,19.618,20.977,16.419,17.207,18,0,,,2,0,3,0,12.067635019999997,1.8411733115532403,
1446474600,17.281,18.168,16.811,17.337,19,0,,,2,0,3,0,12.106195019999998,1.8350341329487168,
1448980200,17.488,18.18,17.054,17.929,20,0,,,2,0,3,0,12.152715019999999,1.8773733171793014,
1451917800,17.617,17.798,14.101,17.251,21,1,14.101,1,2,0,3,1,12.17647002,1.787873982257281,
1454337000,17.108,17.616,14.555,16.089,22,0,,,2,0,3,0,12.162227519999998,1.6523339943939257,
1456842600,16.321,18.23,15.937,17.972,23,0,,,2,0,3,0,12.166150019999998,1.8273009481465317,
1459517400,17.844,19.24,17.026,17.932,24,0,,,2,0,3,0,12.156435019999998,1.806035665592273,
1462195800,17.982,19.218,17.636,18.654,25,0,,,2,0,3,0,12.109548769999998,1.8606271863641992,
1464787800,18.684,19.599,16.502,17.502,5,0,,,0,0,3,0,11.95549627,1.7310843569178438,
1467379800,17.448,19.176,16.1895,17.489,6,0,,,0,0,3,0,11.73669127,1.7150732191971818,
1470058200,17.432,17.432,16.294,16.679,7,0,,,0,0,3,0,11.295086269999999,1.6232338378780409,
1472736600,16.647,17.367,16.358,16.744,8,0,,,0,0,3,0,10.684431269999997,1.6181358475122083,
1475501400,16.697,19.901,16.272,19.481,9,0,,,1,0,3,0,10.08652377,1.8662545021689059,
1478007000,19.571,19.9695,18.502,19.403,10,0,,,1,0,3,0,9.748226269999998,1.8426615231694128,
1480602600,19.408,20.72799,18.809,19.74,11,0,,,1,0,3,0,9.717551269999998,1.8592867979290943,
1483453800,19.855,20.596,19.641,20.13,12,0,,,1,0,3,0,9.722888769999999,1.8801520876394335,
1485959400,19.823,19.903,18.56,19.188,13,0,,,1,0,3,0,9.668828769999998,1.7773270551487428,
1488378600,19.407,19.461,18.222,18.78,14,0,,,1,0,3,0,9.651791269999999,1.725128051509962,
1491226200,18.79,19.458,18.103,19.017,15,0,,,1,0,3,0,9.607501269999998,1.7323081945566394,
1493645400,19.044,19.457,18,18.236,16,0,,,1,0,3,0,9.562118769999998,1.6476414552750345,
1496323800,18.326,19.34699,17.75,19.167,17,0,,,1,0,3,0,9.538266269999998,1.7165998286320996,
