time,open,high,low,close,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1733841000,373.43,378.3,356.13,367.7,1,0,0,0
1733855400,367.9,379.74,366.6,377.46,1,0,0,0
1733927400,385.66,406.21,385.5,400.05,1,0,0,0
1733941800,400,412.68,399.6,411.66,1,0,0,0
1734013800,413.95,415.76,397.1,403.59,1,0,0,0
1734028200,403.4,404.76,386.11,392.34,1,0,0,0
1734100200,399.69,405.37,388.88,399.28,1,0,0,0
1734114600,399.12,409.66,396,409.15,1,0,0,0
1734359400,425.25,436.6,416.11,436.37,0,0,0,0
1734373800,436.3,437.61,406.51,408.71,0,0,0,0
1734445800,413.45,415.68,387.77,396.11,0,0,0,0
1734460200,396.36,397,386,386.53,0,0,0,0
1734532200,386,390.23,372.77,387.59,0,0,0,0
1734546600,387.5,389.38,337.96,349.93,1,0,0,0
1734618600,365.15,367.4,323.48,332.56,1,0,0,0
1734633000,332.31,339.01,324,326.61,0,0,0,0
1734705000,318.99,357.29,316.98,348.66,0,0,0,0
1734719400,348.69,364.8,347.68,363.82,0,0,0,0
1734964200,358.39,359.58,340.02,343.98,0,0,0,0
1734978600,343.82,344.5,329.15,333,0,1,0,0
1735050600,344,361,342.5,359.145,0,0,0,0
1735223400,350.25,351.68,340,347.08,0,0,0,0
1735237800,347.1,347.6,340.52,341.33,0,0,0,0
1735309800,342.705,343,326.58,328.09,0,0,0,0
1735324200,328,330.95,323.2,330.41,0,0,0,0
1735569000,319.245,320,301.75,314,0,0,0,0
1735583400,314.01,318.81,302,302.77,0,0,0,0
1735655400,317.3,317.71,287.76,293.37,0,0,0,0
1735669800,293.5,295.55,285.01,289.71,0,0,0,0
1735828200,300.18,310.68,294.11,296.29,0,0,0,0
1735842600,296.21,302.04,292.28,300.33,0,0,0,0
1735914600,302.835,334.87,301.9,334.65,0,0,0,0
1735929000,334.65,343.27,332.93,339.635,0,0,0,0
1736173800,349.33,369.28,335.5,369.23,0,0,0,0
1736188200,369.3,383.01,365.21,379.79,0,0,0,0
1736260200,366.47,371.25,342.4,343.47,0,0,0,0
1736274600,343.48,344.53,335.25,341.48,0,0,0,0
1736346600,335.245,344.45,317.27,338.5,0,0,0,0
1736361000,338.44,338.75,329.05,331.72,0,0,0,0
1736519400,329.745,337,317.98,331.25,0,0,0,0
1736533800,331.2,335.55,325.81,327.97,0,0,0,0
1736778600,310.42,324.79,303.8,317.45,0,0,0,0
1736793000,317.5,329.3,315.37,328.43,0,0,0,0
1736865000,343.41,349.77,331.32,343.26,0,0,0,0
1736879400,343.27,354.89,336.96,342.91,0,0,0,0
1736951400,357.75,363.98,353.05,357.96,0,0,0,0
1736965800,357.85,368.43,356.07,360.53,0,0,0,0
1737037800,357.81,365.25,345.88,360,0,0,0,0
1737052200,359.64,370.26,357.24,366.995,0,0,0,0
1737124200,383.2,395.15,380.4,394.08,0,0,0,0
1737138600,393.78,398.68,390.69,396.6,0,0,0,0
1737469800,395,398.37,367.67,397.38,0,0,0,0
1737484200,397.22,404.38,382.6,389.1,0,0,0,0
1737556200,384.96,390.35,371.1,376.35,0,0,0,0
1737570600,376.75,381.7,373.9,377.17,0,0,0,0
1737642600,371.65,390.15,370.84,380,0,0,0,0
1737657000,380.21,385.73,372.8,373.12,0,1,0,0
1737729000,378.02,378.11,365.35,374.6,0,0,0,0
1737743400,374.5,376.05,351,353.77,0,0,0,0
1737988200,340.8,356.78,323.51,323.51,0,0,0,0
1738002600,323.8,348.5,322.34,347.52,0,0,0,0
1738074600,344.15,349,334.8,338.85,0,0,0,0
1738089000,338.82,341.49,333.1,335.94,0,0,0,0
1738161000,338.21,341.35,333.19,336.15,0,0,0,0
1738175400,336.3,343.63,329.5,341.21,0,0,0,0
1738247400,345.76,356.16,338.6,340.5,0,0,0,0
1738261800,340.27,347.73,340,340.31,0,0,0,0
1738333800,340,352.66,333.89,347.68,0,0,0,0
1738348200,347.5,348.61,332,334.09,0,0,0,0
1738593000,309.51,337.8,309.4,336.76,0,0,0,0
1738607400,337.07,348.88,336.26,347.17,0,0,0,0
1738679400,341.195,351.14,340.5,347.78,0,0,0,0
1738693800,347.75,353.72,344.44,348.31,0,0,0,0
1738765800,349.11,352.35,338.88,342.14,0,0,0,0
1738780200,342.05,343.85,333.56,336.475,0,0,0,0
1738852200,338.67,344.5,326.1,326.52,0,0,0,0
1738866600,326.38,329,320.71,325.57,0,0,0,0
1738938600,335.01,344.4,330.82,341.8,0,0,0,0
1738953000,341.39,343.3,327,327.72,0,0,0,0
1739197800,333.54,340.36,328.3,332.16,0,0,0,0
1739212200,332.08,335.41,329.4,334.7,0,0,0,0
1739284200,332.73,338.5,321.82,323.38,0,0,0,0
1739298600,323.36,325.04,318.71,319.375,0,0,0,0
1739370600,315.73,329.61,314.2,324.72,0,0,0,0
1739385000,324.57,331.18,322.3,326.86,0,0,0,0
1739457000,325.52,330.53,317.35,320.13,0,0,0,0
1739471400,320.33,327.32,319.47,325.03,0,0,0,0
1739543400,325.05,340.64,323.8,340.38,0,0,0,0
1739557800,340.38,344.88,337.17,337.65,0,0,0,0
1739889000,337.75,340.43,328.1,329.07,0,0,0,0
1739903400,329.04,335.16,326.8,333.96,0,0,0,0
1739975400,337.4,340.22,326.8,327.86,0,0,0,0
1739989800,327.72,327.8,317.17,318.76,0,0,0,0
1740061800,323.55,327.83,314.935,323.32,0,0,0,0
1740076200,323.27,325.33,321.65,323.82,0,0,0,0
1740148200,327.62,329,308.2,310.77,0,0,0,0
1740162600,310.64,312.5,299.06,299.73,0,0,0,0
1740407400,304,304,276.43,295.65,0,0,0,0
1740421800,295.5,296.5,282.22,282.48,0,0,0,0
1740493800,267.95,270.29,247.12,249.3,0,0,0,0
1740508200,249.36,258.62,243.7,250.48,0,0,0,0
1740580200,245.57,261.36,244.02,251.71,0,0,0,0
1740594600,251.54,264.35,247.18,263.6,0,0,0,0
1740666600,267.115,271.43,250.9,256.6,0,0,0,0
1740681000,256.36,257.3,239.52,239.88,0,0,0,0
1740753000,237.48,256.55,231.92,248.66,0,0,0,0
1740767400,248.41,257.45,248,255.41,0,0,0,0
1741012200,293.22,295.03,255.66,255.73,0,0,0,0
1741026600,255.73,260,246.11,251.26,0,0,0,0
1741098600,240.28,266.29,237.05,263.81,0,0,0,0
1741113000,263.815,293.01,262.32,274.87,0,0,0,0
1741185000,278.5,300.75,271.88,292.795,0,0,0,0
1741199400,292.67,311.2,290.1,308.58,0,0,0,0
1741271400,298.55,320.8,292.17,302.42,0,0,0,0
1741285800,302.32,311.93,295.62,304.17,0,0,0,0
1741357800,298.15,310.3,281.46,298.32,0,0,0,0
1741372200,298.7,305.15,286,286.66,0,0,0,0
1741613400,267.82,272,241.32,243.93,0,0,0,0
1741627800,243.75,244.2,231.62,238.95,0,0,0,0
1741699800,244.42,250.2,231.6,241.16,0,0,0,0
1741714200,241.15,263.07,240.04,260.45,0,0,0,0
1741786200,264.6,269.53,248.23,265.29,0,0,0,0
1741800600,265.17,266.68,258,262.56,0,0,0,0
1741872600,262.01,270.4,253.77,259.25,0,0,0,0
1741887000,259.24,268.95,258.53,263.63,0,0,0,0
1741959000,273.99,292.88,272.62,289.81,0,0,0,0
1741973400,290,298.65,288.1,297.53,0,0,0,0
1742218200,291.665,294.57,281.635,291.655,0,0,0,0
1742232600,291.79,296.8,290.93,294.36,0,0,0,0
1742304600,283,290.88,272.5,281.19,0,0,0,0
1742319000,281.07,285.55,278.55,283.3,0,0,0,0
1742391000,290.16,301.11,287.07,296.84,0,0,0,0
1742405400,296.92,309.04,292.7,304.23,0,0,0,0
1742477400,298.51,309.44,293.4,298.24,0,0,0,0
1742491800,298.1,303.49,297.65,302,0,0,0,0
1742563800,295.12,301.99,293.05,296.79,0,0,0,0
1742578200,296.54,306.33,296.29,303.81,0,0,0,0
1742823000,316.18,332.08,311.3,328.64,0,0,0,0
