time,open,high,low,close,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim
1757352600,0.9973529543721119,0.9999103541012999,0.9961857751851021,0.9999103541012999,0.9625754029342477,0.9910511168993356,0.9910511168993356,1.0027475963777288,1.016242956251604,0,0,0,0,-15.910389949905536,-40,-60,10,30,50,,,,,,,,,,
1757424600,1.0049349484073575,1.0157063363848502,1.0049349484073575,1.0137810297616376,0.9635073698554483,0.9913204685403685,0.9913204685403685,1.0061508346694643,1.016242956251604,0,0,0,0,-15.910389949905536,-40,-60,10,30,50,,,,,,,,,,
1757439000,1.0130184952415155,1.0130184952415155,1.0067373338124326,1.0076329022988506,0.9639981209742005,0.9912129973239504,0.9912129973239504,1.0061508346694643,1.016242956251604,0,0,0,0,-15.910389949905536,-40,-60,10,30,50,,,,,,,,,,
1757511000,1.0048395769851228,1.0068977873331542,1.0028128767245612,1.0031279324366595,0.9636173272932512,0.9905453894283756,0.9905453894283756,1.0061508346694643,1.016242956251604,0,0,0,0,-15.910389949905536,-40,-60,10,30,50,,,,,,,,,,
1757525400,1.0038875731712766,1.0072875217955024,1.0038875731712766,1.00407359326738,0.962919293735065,0.9897309194535909,0.9897309194535909,1.0061508346694643,1.016242956251604,0,0,0,0,-15.910389949905536,-40,-60,10,30,50,,,,,,,,,,
1757597400,1.0037523452157597,1.0048610801409268,1.000890789239266,1.0045470756062769,0.9636558901417568,0.989762276648625,0.989762276648625,1.0061508346694643,1.016242956251604,0,0,0,0,-15.910389949905536,-40,-60,10,30,50,,,,,,,,,,
1757611800,1.004992422216279,1.005039468402979,1.0034722222222223,1.0039659551713382,0.9635612444911563,0.9893576323660165,0.9893576323660165,1.0061508346694643,1.016242956251604,0,0,0,0,-15.910389949905536,-40,-60,10,30,50,,,,,,,,,,
1757683800,1.0096480257280687,1.0162529023039828,1.0096480257280687,1.0123324396782842,0.9650784038005285,0.9900935663952443,1.01510872898996,1.008012094769048,1.016242956251604,0,0,0,0,-15.910389949905536,-40,-60,10,30,50,,,,,,,,,,
1757698200,1.0123324396782842,1.0129951324074487,1.009779841914884,1.0113382733684493,0.9667204299609085,0.9908866398841158,0.9908866398841158,1.008012094769048,1.016242956251604,0,0,0,0,-15.910389949905536,-40,-60,10,30,50,,,,,,,,,,
1757943000,0.9979504544644449,0.9979504544644449,0.9919046348189663,0.9919046348189663,0.9668860245730466,0.9903837258058612,0.9903837258058612,0.9973123361223798,1.016242956251604,0,0,0,0,-15.936830251711296,-40,-60,10,30,50,,,,,,,,,,
